Time,Velocity,Projectile,Angle,Laminate,Residual Velcity
0.00006,600,Round,0,PF,402.8608093
0.00009,600,Round,0,PF,401.5159302
0.000120003,600,Round,0,PF,401.2839355
0.000150002,600,Round,0,PF,400.8269958
0.000180004,600,Round,0,PF,400.213501
0.000210003,600,Round,0,PF,399.9150391
0.000240002,600,Round,0,PF,399.7937317
0.000270003,600,Round,0,PF,398.7938843
0.000300001,600,Round,0,PF,397.60672
0.000330003,600,Round,0,PF,397.2764587
0.000360005,600,Round,0,PF,394.0366516
0.00039,600,Round,0,PF,393.9921875
0.000420005,600,Round,0,PF,394.0208435
0.000450002,600,Round,0,PF,393.9952393
0.000480001,600,Round,0,PF,393.917511
0.000510002,600,Round,0,PF,393.9170837
0.000540006,600,Round,0,PF,393.9134521
0.000570003,600,Round,0,PF,393.9135132
0.0006,600,Round,0,PF,393.9139099
0,650,Round,0,PF,650
0.00003,650,Round,0,PF,480.5208435
0.00006,650,Round,0,PF,440.3670044
0.00009,650,Round,0,PF,440.3340454
0.000120002,650,Round,0,PF,440.3334961
0.000150002,650,Round,0,PF,440.3023376
0.000180002,650,Round,0,PF,440.324707
0.000210001,650,Round,0,PF,439.9750671
0.000240001,650,Round,0,PF,439.8545532
0.000270001,650,Round,0,PF,438.3728943
0.000300004,650,Round,0,PF,438.0871277
0.000330004,650,Round,0,PF,435.4856567
0.000360004,650,Round,0,PF,435.4709473
0.00039,650,Round,0,PF,435.4414978
0.000420003,650,Round,0,PF,435.4378967
0.00045,650,Round,0,PF,435.43927
0.000480003,650,Round,0,PF,435.4430542
0.00051,650,Round,0,PF,435.4423218
0.000540003,650,Round,0,PF,435.4428101
0.000570003,650,Round,0,PF,435.4457092
0.0006,650,Round,0,PF,435.4465027
0,700,Round,0,PF,700
0.00003,700,Round,0,PF,515.6969604
0.00006,700,Round,0,PF,479.8571472
0.00009,700,Round,0,PF,478.2718506
0.000120002,700,Round,0,PF,478.1404419
0.000150001,700,Round,0,PF,478.1375732
0.000180001,700,Round,0,PF,477.7297363
0.000210001,700,Round,0,PF,476.7208252
0.000240002,700,Round,0,PF,475.7241516
0.000270002,700,Round,0,PF,475.4329529
0.000300001,700,Round,0,PF,473.3253174
0.000330002,700,Round,0,PF,471.8411865
0.000360001,700,Round,0,PF,471.5314941
0.000390001,700,Round,0,PF,471.4459229
0.00042,700,Round,0,PF,471.4331665
0.000450001,700,Round,0,PF,471.4289551
0.000480003,700,Round,0,PF,471.4246216
0.000510001,700,Round,0,PF,471.4226074
0.000540003,700,Round,0,PF,471.4208374
0.00057,700,Round,0,PF,471.4167175
0.0006,700,Round,0,PF,471.4152222
0,750,Round,0,PF,750
0.00003,750,Round,0,PF,555.1737061
0.00006,750,Round,0,PF,531.2015991
0.00009,750,Round,0,PF,530.2263184
0.00012,750,Round,0,PF,530.227417
0.000150001,750,Round,0,PF,530.2329712
0.00018,750,Round,0,PF,529.8121338
0.00021,750,Round,0,PF,527.4371948
0.000240002,750,Round,0,PF,525.9277954
0.000270002,750,Round,0,PF,525.1326294
0.000300002,750,Round,0,PF,524.7030029
0.000330001,750,Round,0,PF,524.2866211
0.00036,750,Round,0,PF,524.1247559
0.00039,750,Round,0,PF,524.0847778
0.000420001,750,Round,0,PF,524.0692139
0.000450001,750,Round,0,PF,524.0661621
0.000480001,750,Round,0,PF,524.067749
0.000510001,750,Round,0,PF,524.0714722
0.00054,750,Round,0,PF,524.0706787
0,200,Round,30,PF,200
0.000075,200,Round,30,PF,141.7392273
0.000150024,200,Round,30,PF,57.2798233
0.000225022,200,Round,30,PF,37.05194855
0.000300018,200,Round,30,PF,-1.237169743
0.000375022,200,Round,30,PF,-2.902198076
0.000450001,200,Round,30,PF,-2.831794262
0.000525016,200,Round,30,PF,-2.696717501
0.000600008,200,Round,30,PF,-2.494353533
0.000675015,200,Round,30,PF,-2.359627724
0.000750015,200,Round,30,PF,-2.265925169
0.000825019,200,Round,30,PF,-2.096114874
0.000900026,200,Round,30,PF,-1.873919368
0.000975006,200,Round,30,PF,-1.665379405
0.001050002,200,Round,30,PF,-1.494426608
0.001125009,200,Round,30,PF,-1.353875875
0.001200024,200,Round,30,PF,-1.242232919
0.001275009,200,Round,30,PF,-1.147719026
0.001350004,200,Round,30,PF,-1.248226404
0.001425001,200,Round,30,PF,-1.679865718
0.0015,200,Round,30,PF,-4.042582035
0,250,Round,30,PF,250
0.000075,250,Round,30,PF,166.693573
0.000150021,250,Round,30,PF,64.27746582
0.000225003,250,Round,30,PF,40.65044785
0.000300001,250,Round,30,PF,5.562180996
0.000375024,250,Round,30,PF,5.242371559
0.000450004,250,Round,30,PF,5.25421381
0.000525017,250,Round,30,PF,5.239974976
0.000600009,250,Round,30,PF,5.349193096
0.000675008,250,Round,30,PF,5.39974308
0.000750026,250,Round,30,PF,5.483006001
0.000825005,250,Round,30,PF,5.626002312
0.000900024,250,Round,30,PF,5.712673187
0.000975016,250,Round,30,PF,5.781009674
0.001050003,250,Round,30,PF,5.856816769
0.001125001,250,Round,30,PF,5.485796928
0.001200021,250,Round,30,PF,3.974246025
0.001275011,250,Round,30,PF,1.764664531
0.001350009,250,Round,30,PF,-8.377959251
0.001425026,250,Round,30,PF,-30.74670029
0.0015,250,Round,30,PF,-31.65211487
0,300,Round,30,PF,300
0.000075,300,Round,30,PF,192.0804443
0.000150015,300,Round,30,PF,118.2886047
0.000225017,300,Round,30,PF,65.85175323
0.000300019,300,Round,30,PF,18.47318649
0.000375022,300,Round,30,PF,17.51311302
0.000450021,300,Round,30,PF,18.61668968
0.000525023,300,Round,30,PF,19.43702507
0.000600008,300,Round,30,PF,19.4892292
0.000675012,300,Round,30,PF,20.06626892
0.000750013,300,Round,30,PF,20.4936409
0.000825009,300,Round,30,PF,19.64559937
0.000900022,300,Round,30,PF,15.6031971
0.000975007,300,Round,30,PF,6.158226013
0.001050002,300,Round,30,PF,4.475618839
0.001125003,300,Round,30,PF,2.85530591
0.001200011,300,Round,30,PF,-8.059910774
0.001275001,300,Round,30,PF,-14.84657764
0.001350007,300,Round,30,PF,-16.62220383
0.00142502,300,Round,30,PF,-21.59767151
0.0015,300,Round,30,PF,-23.59380531
0,350,Round,30,PF,350
